Adam Wright,123000,test_password,Engineering,Gaming,https://instagram.com/AdamWright,Club 4,Dummy Class ID
Alexandre Thomas,123001,test_password,Computer Science,Gaming,https://instagram.com/AlexandreThomas,Club 4,Dummy Class ID
Julia Hall,123002,test_password,Chemistry,Painting,https://instagram.com/JuliaHall,Club 4,Dummy Class ID
William Allen,123003,test_password,Chemistry,Coding,https://instagram.com/WilliamAllen,Club 2,Dummy Class ID
Ethan Evans,123004,test_password,Math,Coding,https://instagram.com/EthanEvans,Club 1,Dummy Class ID
Amy Cote,123005,test_password,Biology,Coding,https://instagram.com/AmyCote,Club 2,Dummy Class ID
Megan Cote,123006,test_password,Computer Science,Skiing,https://instagram.com/MeganCote,Club 1,Dummy Class ID
Kevin Morin,123007,test_password,Art,Writing,https://instagram.com/KevinMorin,Club 4,Dummy Class ID
Madison Hebert,123008,test_password,English,Gaming,https://instagram.com/MadisonHebert,Club 2,Dummy Class ID
Adam Fraser,123009,test_password,Math,Gaming,https://instagram.com/AdamFraser,Club 4,Dummy Class ID
Jessica Miller,123010,test_password,Art,Skiing,https://instagram.com/JessicaMiller,Club 3,Dummy Class ID
Catherine Ouellet,123011,test_password,Physics,Skiing,https://instagram.com/CatherineOuellet,Club 2,Dummy Class ID
Julia Robertson,123012,test_password,Math,Skiing,https://instagram.com/JuliaRobertson,Club 2,Dummy Class ID
Catherine Murphy,123013,test_password,Biology,Writing,https://instagram.com/CatherineMurphy,Club 4,Dummy Class ID
Etienne Bennett,123014,test_password,Art,Painting,https://instagram.com/EtienneBennett,Club 2,Dummy Class ID
Gabriel Fraser,123015,test_password,poliSci,Coding,https://instagram.com/GabrielFraser,Club 2,Dummy Class ID
Alex Green,123016,test_password,Design,Drawing,https://instagram.com/AlexGreen,Club 3,Dummy Class ID
Megan Wright,123017,test_password,Design,Gaming,https://instagram.com/MeganWright,Club 2,Dummy Class ID
Gabriel Leblanc,123018,test_password,Chemistry,Gaming,https://instagram.com/GabrielLeblanc,Club 2,Dummy Class ID
Sarah Simard,123019,test_password,Engineering,Reading,https://instagram.com/SarahSimard,Club 4,Dummy Class ID
William King,123020,test_password,Math,Writing,https://instagram.com/WilliamKing,Club 1,Dummy Class ID
Alexandre Bergeron,123021,test_password,Physics,Reading,https://instagram.com/AlexandreBergeron,Club 2,Dummy Class ID
Samantha Campbell,123022,test_password,Art,Reading,https://instagram.com/SamanthaCampbell,Club 1,Dummy Class ID
Gabrielle Murphy,123023,test_password,English,Coding,https://instagram.com/GabrielleMurphy,Club 2,Dummy Class ID
Emma Hall,123024,test_password,poliSci,Coding,https://instagram.com/EmmaHall,Club 2,Dummy Class ID
Vanessa Fraser,123025,test_password,Engineering,Coding,https://instagram.com/VanessaFraser,Club 3,Dummy Class ID
David Bouchard,123026,test_password,Physics,Coding,https://instagram.com/DavidBouchard,Club 4,Dummy Class ID
Audrey Lee,123027,test_password,Chemistry,Reading,https://instagram.com/AudreyLee,Club 3,Dummy Class ID
Vanessa Lewis,123028,test_password,Chemistry,Reading,https://instagram.com/VanessaLewis,Club 1,Dummy Class ID
Brandon Brown,123029,test_password,Art,Painting,https://instagram.com/BrandonBrown,Club 2,Dummy Class ID
vincent Bell,123030,test_password,Art,Writing,https://instagram.com/vincentBell,Club 3,Dummy Class ID
Megan Bell,123031,test_password,Biology,Gaming,https://instagram.com/MeganBell,Club 3,Dummy Class ID
Eric Scott,123032,test_password,English,Reading,https://instagram.com/EricScott,Club 4,Dummy Class ID
Megan Jackson,123033,test_password,Computer Science,Reading,https://instagram.com/MeganJackson,Club 3,Dummy Class ID
Julia Kelly,123034,test_password,Biology,Reading,https://instagram.com/JuliaKelly,Club 1,Dummy Class ID
Ashley Poirier,123035,test_password,Chemistry,Coding,https://instagram.com/AshleyPoirier,Club 3,Dummy Class ID
Nicolas Leblanc,123036,test_password,English,Reading,https://instagram.com/NicolasLeblanc,Club 2,Dummy Class ID
Jade Mitchell,123037,test_password,Computer Science,Reading,https://instagram.com/JadeMitchell,Club 2,Dummy Class ID
Laurence Belanger,123038,test_password,Biology,Writing,https://instagram.com/LaurenceBelanger,Club 3,Dummy Class ID
Ben Nadeau,123039,test_password,Engineering,Gaming,https://instagram.com/BenNadeau,Club 4,Dummy Class ID
Laurence Gagne,123040,test_password,Math,Painting,https://instagram.com/LaurenceGagne,Club 4,Dummy Class ID
Charles Clark,123041,test_password,English,Drawing,https://instagram.com/CharlesClark,Club 3,Dummy Class ID
Rachel Johnson,123042,test_password,Engineering,Painting,https://instagram.com/RachelJohnson,Club 3,Dummy Class ID
Catherine Collins,123043,test_password,Engineering,Gaming,https://instagram.com/CatherineCollins,Club 3,Dummy Class ID
Antoine Lefebvre,123044,test_password,Biology,Painting,https://instagram.com/AntoineLefebvre,Club 3,Dummy Class ID
Catherine Kennedy,123045,test_password,Physics,Painting,https://instagram.com/CatherineKennedy,Club 4,Dummy Class ID
William Wood,123046,test_password,Biology,Skiing,https://instagram.com/WilliamWood,Club 2,Dummy Class ID
Kayla Lavoie,123047,test_password,Design,Painting,https://instagram.com/KaylaLavoie,Club 4,Dummy Class ID
Kevin Hebert,123048,test_password,Chemistry,Drawing,https://instagram.com/KevinHebert,Club 1,Dummy Class ID
Taylor Roy,123049,test_password,Math,Coding,https://instagram.com/TaylorRoy,Club 2,Dummy Class ID
Gabrielle Robinson,123050,test_password,Chemistry,Coding,https://instagram.com/GabrielleRobinson,Club 1,Dummy Class ID
